"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"Atp8a1",4.78198561520833e-40,0.998313014105862,0.195,0.1,2.71372901677457e-35,"0","Atp8a1"
"Rassf2",4.90741193687581e-39,0.81433862106935,0.117,0.044,2.78490720005766e-34,"0","Rassf2"
"Cxcl16",8.31495194375745e-39,0.984131025034054,0.114,0.043,4.71865207856292e-34,"0","Cxcl16"
"Emilin2",4.19556924597326e-37,0.826233052706808,0.195,0.1,2.38094359139737e-32,"0","Emilin2"
"Id2",3.66185741509963e-36,0.809652103999365,0.1,0.035,2.07806746449489e-31,"0","Id2"
"mt-Co1",4.06485854956865e-36,0.61510255584409,0.661,0.656,2.30676657829471e-31,"0","mt-Co1"
"Rasgef1b",4.13545752754024e-36,1.03990214407587,0.184,0.093,2.34683079230381e-31,"0","Rasgef1b"
"Cxcl9",8.85821321988355e-36,0.713018919049837,0.143,0.062,5.02694742015172e-31,"0","Cxcl9"
"Ric1",5.88099938994589e-35,1.16540357758399,0.186,0.101,3.33740834380039e-30,"0","Ric1"
"Arap1",6.72796981152184e-35,1.00549694203612,0.185,0.099,3.81805558834053e-30,"0","Arap1"
"App",8.91205231653633e-35,0.862738707951028,0.57,0.594,5.0575005691112e-30,"0","App"
"Dleu2",1.54686841161208e-34,1.05607833071391,0.224,0.133,8.77832354905737e-30,"0","Dleu2"
"Ncf1",1.58278324618589e-34,0.625611734841353,0.124,0.05,8.98213664378033e-30,"0","Ncf1"
"Nfil3",2.97682205782396e-34,0.95351232647807,0.128,0.055,1.68931674959452e-29,"0","Nfil3"
"Tgm2",3.74695575271066e-34,0.981596767425681,0.271,0.175,2.12635992010577e-29,"0","Tgm2"
"Uvrag",6.26139067614633e-34,1.19135240567328,0.363,0.295,3.55327659480628e-29,"0","Uvrag"
"Gnaq",8.28222200739803e-34,1.02381221223302,0.43,0.384,4.70007816697831e-29,"0","Gnaq"
"Plcg2",1.60727076948496e-33,0.966342553263395,0.187,0.101,9.12110088975023e-29,"0","Plcg2"
"Prkcd",2.07757013513324e-33,1.03943078872252,0.184,0.101,1.17900027598676e-28,"0","Prkcd"
"Btg1",2.50882313326163e-33,1.11539865678569,0.399,0.344,1.42373203989464e-28,"0","Btg1"
"Osbpl8",5.67225047118137e-33,1.23623534858956,0.308,0.23,3.21894541989072e-28,"0","Osbpl8"
